city id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oksbol,55.63,8.29,48.99,87,0,9.17,DK,1604514658
1,chokurdakh,70.63,147.92,-14.19,84,0,5.84,RU,1604514658
2,grahamstown,-33.3,26.53,60.89,93,100,9.86,ZA,1604514658
3,mount gambier,-37.83,140.77,46.4,81,40,8.05,AU,1604514658
4,asau,46.43,26.4,36.0,97,0,1.39,RO,1604514658
5,bilibino,68.05,166.44,4.62,91,100,5.61,RU,1604514658
6,tobetsu,43.22,141.52,39.0,89,78,14.18,JP,1604514658
7,pangnirtung,66.15,-65.71,8.6,60,20,13.87,CA,1604514658
8,bluff,-46.6,168.33,57.0,97,79,4.0,NZ,1604514659
9,new norfolk,-42.78,147.06,45.0,69,0,1.01,AU,1604514659
10,touros,-5.2,-35.46,86.0,58,20,13.87,BR,1604514659
11,maniitsoq,65.42,-52.9,28.31,96,100,26.15,GL,1604514659
12,havre-saint-pierre,50.23,-63.6,28.4,63,1,18.34,CA,1604514659
13,mehamn,71.04,27.85,35.6,80,0,11.41,NO,1604514659
14,albany,42.6,-73.97,57.0,44,2,8.5,US,1604514430
15,cape town,-33.93,18.42,71.6,64,20,19.46,ZA,1604514572
16,wodonga,-36.12,146.88,55.4,76,90,11.41,AU,1604514419
17,busselton,-33.65,115.33,52.0,76,100,5.01,AU,1604514659
18,terme,41.21,36.97,60.8,82,75,16.11,TR,1604514659
19,salalah,17.02,54.09,77.0,65,0,4.7,OM,1604514660
20,lebu,-37.62,-73.65,55.8,61,0,9.51,CL,1604514660
21,ust-nera,64.57,143.2,1.02,85,100,6.2,RU,1604514660
22,aswan,24.09,32.91,71.19,32,0,11.5,EG,1604514660
23,uige,-7.61,15.06,70.21,93,100,0.92,AO,1604514660
24,sao joao da barra,-21.64,-41.05,77.0,61,0,13.87,BR,1604514660
25,dikson,73.51,80.55,1.47,92,0,7.85,RU,1604514660
26,homer,59.64,-151.55,21.0,44,1,3.36,US,1604514661
27,ushuaia,-54.8,-68.3,62.6,36,0,6.93,AR,1604514661
28,butaritari,3.07,172.79,80.58,73,100,12.39,KI,1604514661
29,lasa,46.62,10.7,53.01,86,40,6.93,IT,1604514661
30,coihaique,-45.58,-72.07,53.6,54,75,4.7,CL,1604514661
31,qaqortoq,60.72,-46.03,30.2,86,75,5.82,GL,1604514661
32,comayagua,14.45,-87.63,68.0,100,90,12.75,HN,1604514662
33,punta arenas,-53.15,-70.92,46.4,81,90,4.7,CL,1604514495
34,agadir,30.42,-9.6,66.2,77,100,16.11,MA,1604514565
35,dunedin,-45.87,170.5,60.89,72,85,4.94,NZ,1604514662
36,fort frances,48.6,-93.4,62.6,29,1,9.17,CA,1604514662
37,nikolskoye,59.7,30.79,46.4,87,90,6.71,RU,1604514662
38,puerto ayora,-0.74,-90.35,80.6,65,40,16.11,EC,1604514662
39,kysyl-syr,63.9,122.76,0.88,93,88,4.72,RU,1604514662
40,korla,41.76,86.15,42.28,53,4,8.75,CN,1604514663
41,teknaf,20.86,92.31,76.75,87,0,4.74,BD,1604514663
42,avera,33.19,-82.53,69.8,31,1,5.82,US,1604514663
43,russell,32.35,-85.2,71.6,33,1,4.7,US,1604514603
44,mataura,-46.19,168.86,57.0,97,100,4.0,NZ,1604514663
45,namatanai,-3.67,152.43,80.65,79,100,7.27,PG,1604514663
46,luganville,-15.53,167.17,75.2,94,75,3.38,VU,1604514663
47,port elizabeth,-33.92,25.57,68.0,88,0,6.93,ZA,1604514663
48,nelson bay,-32.72,152.15,64.4,82,40,4.7,AU,1604514663
49,caravelas,-17.71,-39.25,72.36,84,100,6.8,BR,1604514664
50,tecoh,20.75,-89.47,84.0,65,90,16.11,MX,1604514664
51,atuona,-9.8,-139.03,78.75,77,14,21.52,PF,1604514664
52,porto torres,40.84,8.4,59.0,93,0,4.7,IT,1604514664
53,khatanga,71.97,102.5,-5.98,91,18,8.46,RU,1604514664
54,port alfred,-33.59,26.89,68.7,82,88,10.13,ZA,1604514581
55,pevek,69.7,170.31,2.28,86,95,3.24,RU,1604514629
56,jamestown,42.1,-79.24,62.6,39,1,14.99,US,1604514664
57,grindavik,63.84,-22.43,44.6,75,75,32.21,IS,1604514665
58,kalianget,-7.05,113.93,83.23,77,2,10.45,ID,1604514665
59,santa isabel do rio negro,-0.41,-65.02,86.45,70,100,3.27,BR,1604514665
60,kruisfontein,-34.0,24.73,69.01,82,100,4.0,ZA,1604514665
61,rikitea,-23.12,-134.97,73.36,76,0,16.11,PF,1604514665
62,gamba,-2.65,10.0,76.64,91,100,3.47,GA,1604514665
63,agadez,19.75,10.25,73.38,24,60,6.13,NE,1604514665
64,opuwo,-18.06,13.84,73.33,23,0,10.45,NA,1604514665
65,bredasdorp,-34.53,20.04,66.2,82,42,10.29,ZA,1604514665
66,novo aripuana,-5.12,-60.38,90.05,50,100,3.58,BR,1604514666
67,tessalit,20.2,1.01,78.37,19,42,5.03,ML,1604514666
68,hambantota,6.12,81.12,79.43,82,86,2.95,LK,1604514666
69,lieksa,63.32,30.02,43.09,83,40,13.58,FI,1604514666
70,inuvik,68.35,-133.72,5.0,84,61,3.36,CA,1604514666
71,klaksvik,62.23,-6.59,50.0,100,94,24.16,FO,1604514666
72,prince albert,53.2,-105.77,44.6,70,75,8.05,CA,1604514666
73,bethel,41.37,-73.41,61.0,38,1,9.17,US,1604514495
74,hilo,19.73,-155.09,77.0,83,90,4.7,US,1604514656
75,omboue,-1.57,9.26,76.1,91,100,4.54,GA,1604514666
76,wenchi,7.74,-2.1,79.79,65,0,2.46,GH,1604514667
77,tuktoyaktuk,69.45,-133.04,10.4,85,90,12.75,CA,1604514667
78,ajdabiya,30.76,20.23,68.74,65,100,7.27,LY,1604514667
79,arrecife,28.96,-13.55,69.8,68,40,13.87,ES,1604514667
80,luderitz,-26.65,15.16,62.98,86,92,13.04,NA,1604514667
81,coquimbo,-29.95,-71.34,60.8,67,90,14.99,CL,1604514667
82,strezhevoy,60.73,77.59,33.8,97,90,11.18,RU,1604514667
83,saldanha,-33.01,17.94,66.2,72,88,5.82,ZA,1604514667
84,taihe,30.87,105.38,58.91,67,100,4.05,CN,1604514667
85,kapaa,22.08,-159.32,77.0,94,40,4.7,US,1604514668
86,plainview,40.78,-73.47,63.0,51,1,13.87,US,1604514636
87,georgetown,5.41,100.34,80.6,88,20,3.36,MY,1604514444
88,kodinsk,58.69,99.18,22.91,96,100,8.25,RU,1604514668
89,knysna,-34.04,23.05,64.4,100,90,11.41,ZA,1604514668
90,provideniya,64.38,-173.3,30.36,98,100,8.68,RU,1604514668
91,chervone,49.96,28.86,42.57,89,0,4.79,UA,1604514668
92,sinnai,39.3,9.2,64.99,82,0,5.82,IT,1604514669
93,mumford,5.26,-0.76,80.38,82,39,7.72,GH,1604514669
94,upernavik,72.79,-56.15,17.98,96,100,8.01,GL,1604514669
95,constitucion,-35.33,-72.42,59.92,58,71,21.94,CL,1604514669
96,hobart,-42.88,147.33,46.4,61,2,11.41,AU,1604514599
97,russellville,35.28,-93.13,72.0,43,1,5.82,US,1604514562
98,debre tabor,11.85,38.02,53.44,77,0,1.68,ET,1604514669
99,road town,18.42,-64.62,86.0,66,20,10.29,VG,1604514533
100,port moresby,-9.44,147.18,75.2,100,90,4.7,PG,1604514570
101,beringovskiy,63.05,179.32,36.28,92,100,17.13,RU,1604514669
102,siavonga,-16.54,28.71,82.38,55,0,5.55,ZM,1604514670
103,thompson,55.74,-97.86,26.6,92,90,3.36,CA,1604514670
104,palmerston,-12.49,130.98,84.2,74,90,4.7,AU,1604514670
105,bolshoye murashkino,55.78,44.78,39.61,95,0,6.17,RU,1604514670
106,ixtapa,20.7,-105.2,84.2,48,5,6.93,MX,1604514670
107,bani,18.28,-70.33,86.0,79,75,5.82,DO,1604514562
108,rawson,-43.3,-65.1,76.75,34,27,25.81,AR,1604514671
109,santa marta,11.24,-74.2,86.0,74,65,6.31,CO,1604514518
110,delvada,20.77,71.03,78.37,49,0,6.31,IN,1604514671
111,norman wells,65.28,-126.83,-5.8,83,75,2.24,CA,1604514671
112,halifax,44.65,-63.57,37.0,43,20,5.82,CA,1604514650
113,arraial do cabo,-22.97,-42.03,77.0,69,40,4.7,BR,1604514671
114,saint-pierre,-21.34,55.48,73.4,60,20,11.41,RE,1604514671
115,carnarvon,-24.87,113.63,71.6,83,0,17.22,AU,1604514671
116,mincivan,39.03,46.72,59.79,76,100,1.28,AZ,1604514671
117,airai,-8.93,125.41,61.3,83,67,2.33,TL,1604514672
118,sernur,56.93,49.15,37.89,95,100,6.11,RU,1604514672
119,nabire,-3.37,135.48,75.11,87,92,4.63,ID,1604514672
120,iqaluit,63.75,-68.51,8.6,71,20,5.82,CA,1604514672
121,deming,32.27,-107.76,73.4,23,1,5.82,US,1604514672
